	SID	day	gender	session	handedness	scanner	onset	duration	value	body_site	temperature	condition	keys	rt	phase	biopac_channel
34	1651	1	M	99	r	MS	240.7401938000039	5.00410340000235	50.0	Left Face	46.5	IntensityRating			Control	40
35	1651	1	M	99	r	MS	245.76270700000168	8.996811599994544		Left Face	46.5	Post-Q-Jitter			Control	11
36	1651	1	M	99	r	MS	254.91853840000113	2.0079296000112663		Left Face	46.5	Cue			Control	8
37	1651	1	M	99	r	MS	256.9510081000044	6.00293829999282		Left Face	46.5	Pre-Jitter			Control	9
38	1651	1	M	99	r	MS	262.9987298000051	15.005665399992722		Left Face	46.5	Control Heat 			Control	17
39	1651	1	M	99	r	MS	278.03502900000603	8.99692249999498		Left Face	46.5	Mid-Jitter			Control	10
40	1651	1	M	99	r	MS	287.0879567000011	5.013621999991301	0.0	Left Face	46.5	PainBinary			Control	42
41	1651	1	M	99	r	MS	292.16402270000253	5.021924900007434	50.0	Left Face	46.5	IntensityRating			Control	40
42	1651	1	M	99	r	MS	297.20224340000277	9.000056099997892		Left Face	46.5	Post-Q-Jitter			Control	11
43	1651	1	M	99	r	MS	306.2647272000031	5.013255099998787	0.0	Left Face	46.5	ComfortRating			Control	41
44	1651	1	M	99	r	MS	311.32387310000195	5.005132599995704	0.0	Left Face	46.5	ValenceRating			Control	39
45	1651	1	M	99	r	MS	316.3695594000019	5.005992600003083	50.0	Left Face	46.5	IntensityRating			Control	41
46	1651	1	M	99	r	MS	321.4246928000066	5.020818299999519	0.0	Left Face	46.5	AvoidanceRating			Control	200
47	1651	1	M	99	r	MS	326.47508510000625	5.011184499991941	0.0	Left Face	46.5	RelaxationRating			Control	201
48	1651	1	M	99	r	MS	331.53009980000206	5.010234800000035	0.0	Left Face	46.5	AttentionRating			Control	202
49	1651	1	M	99	r	MS	336.57784950000496	5.006111499998951	0.0	Left Face	46.5	BoredomRating			Control	203
50	1651	1	M	99	r	MS	341.6290517000016	5.0115862999955425	0.0	Left Face	46.5	AlertnessRating			Control	204
51	1651	1	M	99	r	MS	346.684448	5.009433200000785	0.0	Left Face	46.5	PosThxRating			Control	205
52	1651	1	M	99	r	MS	351.7273556	4.998649699999078	0.0	Left Face	46.5	NegThxRating			Control	206
53	1651	1	M	99	r	MS	356.7975868000067	5.016382000001613	0.0	Left Face	46.5	SelfRating			Control	207
54	1651	1	M	99	r	MS	361.8547580000013	5.010638500003552	0.0	Left Face	46.5	OtherRating			Control	208
55	1651	1	M	99	r	MS	366.9102211000063	5.0079823000050965	0.0	Left Face	46.5	ImageryRating			Control	205
56	1651	1	M	99	r	MS	371.97663670000475	5.000181299998076	0.0	Left Face	46.5	PresentRating			Control	210
