runSeq,trial_type,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Begin.started,Begin.stopped,BeginTask.keys,BeginTask.rt,BeginTask.started,BeginTask.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,ImagineInstructionText.started,ImaginationInstructionRead.keys,ImaginationInstructionRead.rt,ImaginationInstructionRead.started,ImaginationInstructionRead.stopped,BodySiteCue.started,BodySiteCue.stopped,NonStimTrialText.started,NonStimTrialText.stopped,fix_cross.started,fix_cross.stopped,ValenceRating.response,ValenceRating.rt,ValenceRating.started,ValenceRating.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,ComfortRating.response,ComfortRating.rt,ComfortRating.started,ComfortRating.stopped,EndingText.started,EndingText.stopped,ConfirmEnd.keys,ConfirmEnd.rt,ConfirmEnd.started,ConfirmEnd.stopped,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
stimuli/orders/stimOrder9.xlsx,3,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,,,,,1469.2518187999958,1471.251838199998,1469.2518187999958,1471.251838199998,1471.2349235999864,1469.2518187999958,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder9.xlsx,3,0,0,0,0,0,26,26,26,,,,,,,,,,,,,,,,,,,1495.2353715999925,1497.2354074000032,1495.2353715999925,1497.2354074000032,1497.2184523000033,1495.2353715999925,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder9.xlsx,3,0,0,0,0,0,35,35,35,,,,,,,,,,,,,,,,,,,1612.2196676000021,1614.2197194999899,1612.2196676000021,1614.2197194999899,1614.2027888000011,1612.2196676000021,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder9.xlsx,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1664.2031912000093,1664.2031912000093,0.24691358024691112,1680.6813531900116,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder9.xlsx,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013844809989677742,None,20.74074074074074,1685.663997489988,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder9.xlsx,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014564710028935224,None,62.96296296296296,1689.7314026899985,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder13.xlsx,3,0,1,1,2,0,0,0,0,,,,,,,1694.886994200002,1694.886994200002,None,space,211.46365819999482,1694.886994200002,None,,,,,,1964.872380099987,1966.8726651000034,1964.872380099987,1966.8726651000034,1966.8557379999838,None,,,,,,,,,,,0.013867910020053387,None,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder13.xlsx,3,0,1,1,2,0,3,3,3,,,,,,,,,,,,,,,,,,,2003.856341000006,2005.8563153999858,2003.856341000006,2005.8563153999858,2005.8394015000085,2003.856341000006,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder13.xlsx,3,0,1,1,2,0,14,14,14,,,,,,,,,,,,,,,,,,,2146.840827999986,2148.8408364999923,2146.840827999986,2148.8408364999923,2148.823929699982,2146.840827999986,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder13.xlsx,3,0,1,1,2,0,15,15,15,,,,,,,,,,,,,,,,,,,2159.82427360001,2161.824275799998,2159.82427360001,2161.824275799998,2161.807362899999,2159.82427360001,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder13.xlsx,3,0,1,1,2,0,19,19,19,,,,,,,,,,,,,,,,,,,2211.8080399000028,2213.808049399988,2211.8080399000028,2213.808049399988,2213.7911273000063,2211.8080399000028,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder13.xlsx,3,0,1,1,2,0,21,21,21,,,,,,,,,,,,,,,,,,,2237.791587099986,2239.7915925999987,2237.791587099986,2239.7915925999987,2239.774667299993,2237.791587099986,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder13.xlsx,3,0,1,1,2,0,28,28,28,,,,,,,,,,,,,,,,,,,2328.7756711999828,2330.7756945999863,2328.7756711999828,2330.7756945999863,2330.7587693000096,2328.7756711999828,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder13.xlsx,3,0,1,1,2,0,29,29,29,,,,,,,,,,,,,,,,,,,2341.759125599987,2343.7591432000045,2341.759125599987,2343.7591432000045,2343.742209899996,2341.759125599987,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder13.xlsx,3,0,1,1,2,0,34,34,34,,,,,,,,,,,,,,,,,,,2406.7430097000033,2408.7430143000092,2406.7430097000033,2408.7430143000092,2408.726106099988,2406.7430097000033,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder13.xlsx,3,0,1,1,2,0,36,36,36,,,,,,,,,,,,,,,,,,,2432.726540500007,2434.7265573999903,2432.726540500007,2434.7265573999903,2434.7096378999995,2432.726540500007,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder13.xlsx,3,0,1,1,2,0,37,37,37,,,,,,,,,,,,,,,,,,,2445.7098425999866,2447.7100023000094,2445.7098425999866,2447.7100023000094,2447.693064299994,2445.7098425999866,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder13.xlsx,3,0,1,1,2,0,39,39,39,,,,,,,,,,,,,,,,,,,2471.693543500005,2473.693551300006,2471.693543500005,2473.693551300006,2473.6766143999994,2471.693543500005,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder13.xlsx,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.506172839506178,2488.021911789954,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder13.xlsx,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013366210041567683,None,15.061728395061738,2490.8043574900075,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder13.xlsx,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014218310010619462,None,45.0,2495.237447590014,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
