repetition	body_site	temperature	pain	intensity	tolerance
1	Left Leg	48.0	1.0	23.20987654320988	1.0
2	Left Leg	48.5	1.0	24.382716049382715	1.0
3	Left Leg	48.5	1.0	27.03703703703704	0.0
4	Left Leg	48.5	1.0	30.555555555555557	1.0
5	Left Leg	48.5	1.0	37.34567901234567	1.0
6	Left Leg	48.5	1.0	36.97530864197531	1.0
7	Left Leg	48.5	1.0	33.2716049382716	1.0
1	Left Face	48.0	-1.0		
2	Left Face	48.5	-1.0		
3	Left Face	48.5	-1.0		
4	Left Face	48.5	-1.0		
5	Left Face	48.5	-1.0		
6	Left Face	48.5	-1.0		
7	Left Face	48.5	-1.0		
1	Right Leg	48.0	1.0	62.160493827160494	-1.0
2	Right Leg	47.5	1.0	37.34567901234567	1.0
3	Right Leg	47.5	1.0	37.407407407407405	1.0
4	Right Leg	47.5	1.0	37.098765432098766	1.0
5	Right Leg	47.5	1.0	36.66666666666667	1.0
6	Right Leg	47.5	1.0	51.17283950617284	1.0
7	Right Leg	47.5	1.0	50.80246913580248	1.0
1	Left Arm	48.0	1.0	64.87654320987653	1.0
2	Left Arm	48.5	1.0	63.27160493827161	1.0
3	Left Arm	48.5	1.0	62.03703703703704	1.0
4	Left Arm	48.5	1.0	52.65432098765432	1.0
5	Left Arm	48.5	1.0	48.02469135802469	1.0
6	Left Arm	48.5	1.0	52.34567901234568	1.0
7	Left Arm	48.5	1.0	51.358024691358025	1.0
1	Chest	48.0	1.0	42.901234567901234	1.0
2	Chest	48.5	1.0	51.11111111111111	1.0
3	Chest	48.5	1.0	37.53086419753087	1.0
4	Chest	48.5	1.0	50.0	1.0
5	Chest	48.5	1.0	45.92592592592592	1.0
6	Chest	48.5	1.0	51.11111111111112	1.0
7	Chest	48.5	1.0	52.22222222222223	1.0
1	Abdomen	48.0	1.0	40.8641975308642	1.0
2	Abdomen	48.5	1.0	42.53086419753087	1.0
3	Abdomen	48.5	1.0	51.66666666666667	1.0
4	Abdomen	48.5	1.0	53.888888888888886	1.0
5	Abdomen	48.5	1.0	51.60493827160494	1.0
6	Abdomen	48.5	1.0	50.92592592592592	1.0
7	Abdomen	48.5	1.0	52.46913580246913	1.0
1	Right Face	48.0	1.0	22.22222222222222	1.0
2	Right Face	48.5	1.0	23.39506172839506	1.0
3	Right Face	48.5	1.0	23.33333333333333	1.0
4	Right Face	48.5	1.0	24.012345679012345	1.0
5	Right Face	48.5	1.0	28.024691358024693	1.0
6	Right Face	48.5	1.0	28.888888888888893	1.0
7	Right Face	48.5	1.0	30.432098765432094	1.0
1	Right Arm	48.0	1.0	64.75308641975309	1.0
2	Right Arm	48.5	1.0	60.0	1.0
3	Right Arm	48.5	1.0	54.32098765432099	1.0
4	Right Arm	48.5	1.0	50.24691358024691	1.0
5	Right Arm	48.5	1.0	52.28395061728395	1.0
6	Right Arm	48.5	1.0	56.11111111111112	1.0
7	Right Arm	48.5	1.0	45.06172839506173	1.0
