runSeq,trial_type,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Begin.started,Begin.stopped,BeginTask.keys,BeginTask.rt,BeginTask.started,BeginTask.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,ImagineInstructionText.started,ImaginationInstructionRead.keys,ImaginationInstructionRead.rt,ImaginationInstructionRead.started,ImaginationInstructionRead.stopped,BodySiteCue.started,BodySiteCue.stopped,NonStimTrialText.started,NonStimTrialText.stopped,fix_cross.started,fix_cross.stopped,ValenceRating.response,ValenceRating.rt,ValenceRating.started,ValenceRating.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,ComfortRating.response,ComfortRating.rt,ComfortRating.started,ComfortRating.stopped,EndingText.started,EndingText.stopped,ConfirmEnd.keys,ConfirmEnd.rt,ConfirmEnd.started,ConfirmEnd.stopped,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
,,,,,,,,,,45.97857809999999,None,space,6.642728599999998,45.97857809999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,1,1,L,MS,2021_May_07_1618,2020.2.5,bodymap1,60.02238835085293,"['Left Arm', 'Right Face', 'Right Arm', 'Left Face']",
stimuli/orders/stimOrder3.xlsx,3,0,0,0,1,0,0,0,0,,,,,,,52.772177,52.772177,None,space,829.4019427,52.772177,None,882.1964950000001,space,72.83209979999992,882.1964950000001,None,970.5470910000001,None,970.5470910000001,None,,,,,,,,,,,,,,,,,,,,,3,F,1,1,L,MS,2021_May_07_1618,2020.2.5,bodymap1,60.02238835085293,"['Left Arm', 'Right Face', 'Right Arm', 'Left Face']",
stimuli/orders/stimOrder3.xlsx,3,0,0,0,1,0,2,2,2,,,,,,,,,,,,,,,,,,,996.5476705000001,None,996.5476705000001,None,983.5478350000001,None,,,,,,,,,,,,,,,,,,,3,F,1,1,L,MS,2021_May_07_1618,2020.2.5,bodymap1,60.02238835085293,"['Left Arm', 'Right Face', 'Right Arm', 'Left Face']",
stimuli/orders/stimOrder3.xlsx,3,0,0,0,1,0,7,7,7,,,,,,,,,,,,,,,,,,,1061.5483624,None,1061.5483624,None,1048.5480211000001,1048.5480211000001,,,,,,,,,,,,,,,,,,,3,F,1,1,L,MS,2021_May_07_1618,2020.2.5,bodymap1,60.02238835085293,"['Left Arm', 'Right Face', 'Right Arm', 'Left Face']",
stimuli/orders/stimOrder3.xlsx,3,0,0,0,1,0,11,11,11,,,,,,,,,,,,,,,,,,,1113.5493084,None,1113.5493084,None,1100.5485358,1100.5485358,,,,,,,,,,,,,,,,,,,3,F,1,1,L,MS,2021_May_07_1618,2020.2.5,bodymap1,60.02238835085293,"['Left Arm', 'Right Face', 'Right Arm', 'Left Face']",
stimuli/orders/stimOrder3.xlsx,3,0,0,0,1,0,13,13,13,,,,,,,,,,,,,,,,,,,1139.5486776,None,1139.5486776,None,1126.5487407,None,,,,,,,,,,,,,,,,,,,3,F,1,1,L,MS,2021_May_07_1618,2020.2.5,bodymap1,60.02238835085293,"['Left Arm', 'Right Face', 'Right Arm', 'Left Face']",
stimuli/orders/stimOrder3.xlsx,3,0,0,0,1,0,16,16,16,,,,,,,,,,,,,,,,,,,1178.5497437000001,None,1178.5497437000001,None,1165.5490451,1165.5490451,,,,,,,,,,,,,,,,,,,3,F,1,1,L,MS,2021_May_07_1618,2020.2.5,bodymap1,60.02238835085293,"['Left Arm', 'Right Face', 'Right Arm', 'Left Face']",
stimuli/orders/stimOrder3.xlsx,3,0,0,0,1,0,20,20,20,,,,,,,,,,,,,,,,,,,1230.5496108,None,1230.5496108,None,1217.5495857,1217.5495857,,,,,,,,,,,,,,,,,,,3,F,1,1,L,MS,2021_May_07_1618,2020.2.5,bodymap1,60.02238835085293,"['Left Arm', 'Right Face', 'Right Arm', 'Left Face']",
stimuli/orders/stimOrder3.xlsx,3,0,0,0,1,0,25,25,25,,,,,,,,,,,,,,,,,,,1295.5501903000002,None,1295.5501903000002,None,1282.5501971,1282.5501971,,,,,,,,,,,,,,,,,,,3,F,1,1,L,MS,2021_May_07_1618,2020.2.5,bodymap1,60.02238835085293,"['Left Arm', 'Right Face', 'Right Arm', 'Left Face']",
stimuli/orders/stimOrder3.xlsx,3,0,0,0,1,0,31,31,31,,,,,,,,,,,,,,,,,,,1373.5510627,None,1373.5510627,None,1360.5508524000002,1360.5508524000002,,,,,,,,,,,,,,,,,,,3,F,1,1,L,MS,2021_May_07_1618,2020.2.5,bodymap1,60.02238835085293,"['Left Arm', 'Right Face', 'Right Arm', 'Left Face']",
