	SID	date	gender	session	handedness	scanner	onset	duration	repetition	rating	body_site	keys	temperature	conditionrt	mouseclick	biopac_channel	condition	rt	value
0	9999	2022_Sep_07_1607	m	1	r	MS	2.820804599999974	5.03572869999698								198	Instructions		
1	9999	2022_Sep_07_1607	m	1	r	MS	8.230445999997755	2.0195593200005533								8	Cue		
2	9999	2022_Sep_07_1607	m	1	r	MS	10.355027300000074	5.996803059999365								9	Pre-Jitter		
3	9999	2022_Sep_07_1607	m	1	r	MS	16.474196899998788	20.018549039999925								19	Heat-Stimulation		
4	9999	2022_Sep_07_1607	m	1	r	MS	36.51396549999845	8.997870859999239								10	Mid-Jitter		
5	9999	2022_Sep_07_1607	m	1	r	MS	45.563189199998305	5.005172719997063								42	PainBinary		0.0
6	9999	2022_Sep_07_1607	m	1	r	MS	50.608706099999836	5.008178719996067								40	IntensityRating		50.0
7	9999	2022_Sep_07_1607	m	1	r	MS	55.64289319999807	5.0166805400003796								40	ToleranceRating		50.0
8	9999	2022_Sep_07_1607	m	1	r	MS	60.677533300000505	8.99980055999913								11	Post-Q-Jitter		
9	9999	2022_Sep_07_1607	m	1	r	MS	69.83641449999777	2.004794900003617								8	Cue		
10	9999	2022_Sep_07_1607	m	1	r	MS	71.8681132999991	6.001561060002132								9	Pre-Jitter		
11	9999	2022_Sep_07_1607	m	1	r	MS	77.89508269999715	20.00845905999813								19	Heat-Stimulation		
12	9999	2022_Sep_07_1607	m	1	r	MS	97.93363229999886	7.0089460400013195								10	Mid-Jitter		
13	9999	2022_Sep_07_1607	m	1	r	MS	104.9793955999994	5.008325619997777								42	PainBinary		0.0
14	9999	2022_Sep_07_1607	m	1	r	MS	110.02715329999774	5.006909719995747								40	IntensityRating		50.0
15	9999	2022_Sep_07_1607	m	1	r	MS	115.06438539999726	5.009322939997219								40	ToleranceRating		50.0
16	9999	2022_Sep_07_1607	m	1	r	MS	120.09766429999945	6.997008160004043								11	Post-Q-Jitter		
17	9999	2022_Sep_07_1607	m	1	r	MS	127.24195569999938	2.015986520000297								8	Cue		
18	9999	2022_Sep_07_1607	m	1	r	MS	129.28476529999898	8.00536875999751								9	Pre-Jitter		
19	9999	2022_Sep_07_1607	m	1	r	MS	137.30719559999852	20.00318236000021								19	Heat-Stimulation		
20	9999	2022_Sep_07_1607	m	1	r	MS	157.3443821999972	9.004886839997198								10	Mid-Jitter		
21	9999	2022_Sep_07_1607	m	1	r	MS	166.39920469999925	5.0011162200025865								42	PainBinary		0.0
22	9999	2022_Sep_07_1607	m	1	r	MS	171.4417766000006	5.010165920000873								40	IntensityRating		50.0
23	9999	2022_Sep_07_1607	m	1	r	MS	176.47978709999734	5.010957039994537								40	ToleranceRating		50.0
24	9999	2022_Sep_07_1607	m	1	r	MS	181.51078629999756	9.001460459996451								11	Post-Q-Jitter		
25	9999	2022_Sep_07_1607	m	1	r	MS	190.6589810000005	2.027680600003805								8	Cue		
26	9999	2022_Sep_07_1607	m	1	r	MS	192.69855149999785	8.006745459999365								9	Pre-Jitter		
27	9999	2022_Sep_07_1607	m	1	r	MS	200.72623819999717	19.994110859999637								19	Heat-Stimulation		
28	9999	2022_Sep_07_1607	m	1	r	MS	220.74502199999915	9.076838959997986								10	Mid-Jitter		
29	9999	2022_Sep_07_1607	m	1	r	MS	229.91257539999788	5.014483580005617								42	PainBinary		-1.0
30	9999	2022_Sep_07_1607	m	1	r	MS	244.95150889999786	9.017175239983771								11	Post-Q-Jitter		
31	9999	2022_Sep_07_1607	m	1	r	MS	254.10901399999784	2.02315009999802								8	Cue		
32	9999	2022_Sep_07_1607	m	1	r	MS	256.14815140000064	8.003251959999034								9	Pre-Jitter		
33	9999	2022_Sep_07_1607	m	1	r	MS	264.1714073000003	19.999477659996046								19	Heat-Stimulation		
34	9999	2022_Sep_07_1607	m	1	r	MS	284.2003134999977	7.002729239997279								10	Mid-Jitter		
35	9999	2022_Sep_07_1607	m	1	r	MS	291.24850909999805	5.013837019996572								42	PainBinary		0.0
36	9999	2022_Sep_07_1607	m	1	r	MS	296.3050782999999	5.01155442000163								40	IntensityRating		50.0
37	9999	2022_Sep_07_1607	m	1	r	MS	301.34128520000013	5.015868939997745								40	ToleranceRating		50.0
38	9999	2022_Sep_07_1607	m	1	r	MS	306.3739898999993	7.004557159998512								11	Post-Q-Jitter		
39	9999	2022_Sep_07_1607	m	1	r	MS	313.524310599998	2.028370799998811								8	Cue		
40	9999	2022_Sep_07_1607	m	1	r	MS	315.5734492999982	8.005157839997992								9	Pre-Jitter		
41	9999	2022_Sep_07_1607	m	1	r	MS	323.5931184000001	20.008428159995674								19	Heat-Stimulation		
42	9999	2022_Sep_07_1607	m	1	r	MS	343.6279448999994	5.001509360001364								10	Mid-Jitter		
43	9999	2022_Sep_07_1607	m	1	r	MS	348.68546389999756	5.012167019998742								42	PainBinary		0.0
44	9999	2022_Sep_07_1607	m	1	r	MS	353.73852199999965	5.000101040001027								40	IntensityRating		50.0
45	9999	2022_Sep_07_1607	m	1	r	MS	358.77830449999965	5.014116539998213								40	ToleranceRating		50.0
46	9999	2022_Sep_07_1607	m	1	r	MS	363.8128756999977	5.000844859998324								11	Post-Q-Jitter		
47	9999	2022_Sep_07_1607	m	1	r	MS	368.9612847999997	2.029968999999255								8	Cue		
48	9999	2022_Sep_07_1607	m	1	r	MS	371.00336889999744	6.005767660000856								9	Pre-Jitter		
49	9999	2022_Sep_07_1607	m	1	r	MS	377.02916689999984	19.998433059998206								19	Heat-Stimulation		
50	9999	2022_Sep_07_1607	m	1	r	MS	397.0569457999991	7.003978540000389								10	Mid-Jitter		
51	9999	2022_Sep_07_1607	m	1	r	MS	404.10658949999925	5.012130919996707								42	PainBinary		0.0
52	9999	2022_Sep_07_1607	m	1	r	MS	409.1604589999988	4.998545739999827								40	IntensityRating		50.0
53	9999	2022_Sep_07_1607	m	1	r	MS	414.1994400000003	5.014096939994488								40	ToleranceRating		50.0
54	9999	2022_Sep_07_1607	m	1	r	MS	419.23557749999964	6.995997059999354								11	Post-Q-Jitter		
55	9999	2022_Sep_07_1607	m	1	r	MS	426.2989927999988	5.0090812999987975								41	ComfortRating		0.0
56	9999	2022_Sep_07_1607	m	1	r	MS	431.3531545000005	5.0110368199966615								39	ValenceRating		0.0
57	9999	2022_Sep_07_1607	m	1	r	MS	436.40145759999723	5.006453239999246								41	IntensityRating		50.0
58	9999	2022_Sep_07_1607	m	1	r	MS	441.45455559999755	5.0088313199958066								200	AvoidanceRating		0.0
59	9999	2022_Sep_07_1607	m	1	r	MS	446.4890463999982	5.01428993999798								201	RelaxationRating		0.0
60	9999	2022_Sep_07_1607	m	1	r	MS	451.54591869999786	5.008839919995808								202	AttentionRating		0.0
61	9999	2022_Sep_07_1607	m	1	r	MS	456.5827109999991	5.010289139998349								203	BoredomRating		0.0
62	9999	2022_Sep_07_1607	m	1	r	MS	461.6362114000003	5.011545019999176								204	AlertnessRating		0.0
63	9999	2022_Sep_07_1607	m	1	r	MS	466.67876500000057	5.001726539998344								205	PosThxRating		0.0
64	9999	2022_Sep_07_1607	m	1	r	MS	471.72475669999767	5.001193439999042								206	NegThxRating	4.158097600000474	0.0
65	9999	2022_Sep_07_1607	m	1	r	MS	476.7717946999983	4.999015239998698								207	SelfRating	1.3926082999969367	-50.370370370370374
66	9999	2022_Sep_07_1607	m	1	r	MS	481.81943859999956	5.012563719996251								208	OtherRating		52.09876543209876
67	9999	2022_Sep_07_1607	m	1	r	MS	486.8689579999991	5.005196719997912								205	ImageryRating	2.1362656999990577	-47.53086419753087
68	9999	2022_Sep_07_1607	m	1	r	MS	491.9216944	5.0082030199992005								210	PresentRating		0.0
