	onset	duration	trial_type	body_site	temp
0	15.75312530004885	1.9665295000304468	3-cue	Right Arm	
1	17.719654800079297	11.022381199969459	3-trial	Right Arm	
2	28.753228700021282	12.998281599999927	2	Right Arm	37.5
3	41.75333520001732	12.999657599999864	4		
4	54.75344530004077	13.000278600000001	4		
5	67.75354980002157	12.999687700000095	2	Right Arm	37.5
6	80.73697050003102	1.9829925000085495	3-cue	Right Arm	
7	82.71996300003957	10.998931499991386	3-trial	Right Arm	
8	93.73709380003856	12.998652199999924	1	Right Arm	46.5
9	106.73717720003333	12.999715700000024	4		
10	119.72060200001579	1.9833328999811783	3-cue	Right Arm	
11	121.70393489999697	10.999575400019012	3-trial	Right Arm	
12	132.72070200002054	12.998670199999879	1	Right Arm	46.5
13	145.7041190000018	1.9831583999912255	3-cue	Right Arm	
14	147.68727739999304	10.998748200008777	3-trial	Right Arm	
15	158.70424240001012	12.998624399999926	2	Right Arm	37.5
16	171.68766049999977	1.9827589000342414	3-cue	Right Arm	
17	173.670419400034	11.000124299965819	3-trial	Right Arm	
18	184.6877824999974	12.99869579999995	1	Right Arm	46.5
19	197.67120300000533	1.982903800031636	3-cue	Right Arm	
20	199.65410680003697	10.999434899968492	3-trial	Right Arm	
21	210.67131570004858	12.998289300000124	4		
22	223.6714204000309	12.999729500000058	1	Right Arm	46.5
23	236.67152920004446	13.000711499999852	4		
24	249.67161449999548	12.999250900000106	4		
25	262.6717172000208	12.99976300000003	1	Right Arm	46.5
26	275.65515700000105	1.983634100004565	3-cue	Right Arm	
27	277.6387911000056	10.998276499995427	3-trial	Right Arm	
28	288.6552666000207	12.998616599999878	1	Right Arm	46.5
29	301.65537570003653	12.999190400000316	4		
30	314.6554506000248	13.000700000000052	1	Right Arm	46.5
31	327.65558190003503	12.999176799999987	4		
32	340.655668899999	12.99969800000008	2	Right Arm	37.5
33	353.6391143000219	1.9829287999891676	3-cue	Right Arm	
34	355.62204310001107	10.999052000010579	3-trial	Right Arm	
35	366.63920110004256	13.013741599999776	2	Right Arm	37.5
36	379.63933360000374	1.9831670999992639	3-cue	Right Arm	
37	381.622500700003	11.001065900000867	3-trial	Right Arm	
38	392.6227300000028	1.9831717999768443	3-cue	Right Arm	
39	394.6059017999796	10.99878250002348	3-trial	Right Arm	
40	405.62284240004374	12.998605699999644	2	Right Arm	37.5
41	418.62295030005043	13.01409539999986	4		
42	431.63971240003593	13.001897000000099	2	Right Arm	37.5
43	444.6397963000345	12.999711700000262	4		
44	457.6399244000204	12.999274400000104	4		
45	470.6400165000232	12.999726399999872	2	Right Arm	37.5
46	483.6234628999955	1.983238699962385	3-cue	Right Arm	
47	485.6067015999579	11.000151200037635	3-trial	Right Arm	
48	496.6235584000242	12.998344999999972	4		
49	509.6236540999962	12.99970630000007	1	Right Arm	46.5
50	522.6070994000183	1.9833221000153571	3-cue	Right Arm	
51	524.5904215000337	10.999082999984694	3-trial	Right Arm	
52	Valence Rating:	-16.543209876543216			
53	Intensity Rating:	34.876543209876544			
54	Comfort Rating:	43.7037037037037			
