	condition	correct	duration	mouseclick	onset	rt	score	SID	date	sex	session
0	Practice 0-back	1.0	1.9770777998492122	0.0	151.82092610001564	0.7288549998775125	3.3333333333333335	1234	2022_Sep_13_1323	f	1
1	Practice 0-back	1.0	1.9811617000959814	0.0	153.80406149988994	0.47885610023513436	6.666666666666667	1234	2022_Sep_13_1323	f	1
2	Practice 0-back	1.0	1.98054420016706	0.0	155.80410679988563	0.19627799978479743	10.0	1234	2022_Sep_13_1323	f	1
3	Practice 0-back	1.0	1.9803150002844632	0.0	157.80398799991235	0.24631650000810623	13.333333333333334	1234	2022_Sep_13_1323	f	1
4	Practice 0-back	1.0	1.980931599624455	0.0	159.80408690031618	0.2796171000227332	16.666666666666668	1234	2022_Sep_13_1323	f	1
5	Practice 0-back	1.0	1.9809485995210707	0.0	161.80410300008953	0.2983932001516223	20.0	1234	2022_Sep_13_1323	f	1
6	Practice 0-back	1.0	1.980765400454402	0.0	163.8041186002083	0.17970989970490336	23.333333333333332	1234	2022_Sep_13_1323	f	1
7	Practice 0-back	1.0	1.9799639005213976	0.0	165.80410430021584	0.42913620034232736	26.666666666666668	1234	2022_Sep_13_1323	f	1
8	Practice 0-back	1.0	1.9804298998788	0.0	167.80416070017964	0.24586280016228557	30.0	1234	2022_Sep_13_1323	f	1
9	Practice 0-back	1.0	1.9812730997800827	0.0	169.80402990011498	0.39640500023961067	33.333333333333336	1234	2022_Sep_13_1323	f	1
10	Practice 0-back	1.0	1.9812743007205427	0.0	171.80421329988167	0.27922230027616024	36.666666666666664	1234	2022_Sep_13_1323	f	1
11	Practice 0-back	1.0	1.9802597002126276	0.0	173.80419789999723	0.2320385999046266	40.0	1234	2022_Sep_13_1323	f	1
12	Practice 0-back	1.0	1.9812576002441347	0.0	175.80417250003666	0.4297293000854552	43.333333333333336	1234	2022_Sep_13_1323	f	1
13	Practice 0-back	1.0	1.9791391999460757	0.0	177.82092450000346	0.4151661996729672	46.666666666666664	1234	2022_Sep_13_1323	f	1
14	Practice 0-back	1.0	1.9810937996953726	0.0	179.80420810030773	0.46242630016058683	50.0	1234	2022_Sep_13_1323	f	1
15	Practice 0-back	1.0	1.9806252997368574	0.0	181.80420979997143	0.4461139999330044	53.333333333333336	1234	2022_Sep_13_1323	f	1
16	Practice 0-back	1.0	1.980706300586462	0.0	183.80424629990011	0.3486977997235954	56.666666666666664	1234	2022_Sep_13_1323	f	1
17	Practice 0-back	1.0	1.9810220999643207	0.0	185.80430860025808	0.22870169999077916	60.0	1234	2022_Sep_13_1323	f	1
18	Practice 0-back	1.0	1.9804182001389563	0.0	187.8043523002416	0.363013599999249	63.333333333333336	1234	2022_Sep_13_1323	f	1
19	Practice 0-back	1.0	1.9812690000981092	0.0	189.8043235000223	0.27956980001181364	66.66666666666667	1234	2022_Sep_13_1323	f	1
20	Practice 0-back	1.0	1.9807508997619152	0.0	191.80438280012459	0.2795786000788212	70.0	1234	2022_Sep_13_1323	f	1
21	Practice 0-back	1.0	1.9806960998103023	0.0	193.80448370007798	0.2961493004113436	73.33333333333333	1234	2022_Sep_13_1323	f	1
22	Practice 0-back	1.0	1.98044090019539	0.0	195.80439210031182	0.19868239993229508	76.66666666666667	1234	2022_Sep_13_1323	f	1
23	Practice 0-back	1.0	1.9803176997229457	0.0	197.8044056999497	0.29623960005119443	80.0	1234	2022_Sep_13_1323	f	1
24	Practice 0-back	1.0	1.980692700482905	0.0	199.80442679999396	0.2629340998828411	83.33333333333333	1234	2022_Sep_13_1323	f	1
25	Practice 0-back	1.0	1.981170100159943	0.0	201.804404000286	0.2117256000638008	86.66666666666667	1234	2022_Sep_13_1323	f	1
26	Practice 0-back	1.0	1.9811558001674712	0.0	203.80438240012154	0.3630579002201557	90.0	1234	2022_Sep_13_1323	f	1
27	Practice 0-back	1.0	1.9813838000409305	0.0	205.80446800030768	0.37970810011029243	93.33333333333333	1234	2022_Sep_13_1323	f	1
28	Practice 0-back	0.0	1.9812051998451352		207.80448749987409		93.33333333333333	1234	2022_Sep_13_1323	f	1
29	Practice 0-back	0.0	1.9781061001121998		209.8211747999303		93.33333333333333	1234	2022_Sep_13_1323	f	1
