	onset	duration	value	bodySite	temperature	condition	keys	rt	phase	biopacCode	biopac_channel
0	0.011618299991823733	5.02532396663446		Left Face	44	Instructions			Placebo		198.0
1	5.049750100006349	1.0533886334160343		Left Face	44	Pre-Jitter			Placebo		8.0
2	6.099931400036439	1.0131652667187154		Left Face	44	Placebo Heat 			Placebo		17.0
3	7.120861500035971	1.006837566732429		Left Face	44	Post-Jitter			Placebo		9.0
4	8.18033840006683	64.90578540007118	0	Left Face	44	PainBinary		64.8937998333713	Placebo		
5	8.805480500101112	65.5515990999993	47	Left Face	44	IntensityRating		65.53447039995808	Placebo		
6	9.462080500088632	66.19365700008348	49	Left Face	44	ComfortRating		66.18686499993782	Placebo		
7	10.102149900048971	66.82866700005252	66	Left Face	44	ValenceRating		66.81977880024351	Placebo		
8	10.730261699995026	67.48429100005887	2	Left Face	44	IntensityRating		67.46928829990793	Placebo		
9	11.387567700003274	68.11055750004016	26	Left Face	44	AvoidanceRating		68.09673969994765	Placebo		
10	12.00440180010628	68.75717860006262	-16	Left Face	44	RelaxationRating		68.75085876660887	Placebo		
11	12.675394000019878	69.40683650004212	12	Left Face	44	AttentionRating		69.39072313334327	Placebo		
12	13.314487700001337	70.05481660005171	-36	Left Face	44	BoredomRating		70.04649190010969	Placebo		
13	13.957582500064746	70.69449690007605	82	Left Face	44	AlertnessRating		70.680460600066	Placebo		
14	14.605997100006789	71.34681440005079	-89	Left Face	44	PosThxRating		71.34070579998661	Placebo		
15	15.247115200036205	71.99324670003261	-32	Left Face	44	NegThxRating		71.976300700102	Placebo		
16	15.91971430007834	72.65433640009724	-66	Left Face	44	SelfRating		72.6486059332965	Placebo		
17	16.555227800039575	73.28820550011005	-41	Left Face	44	OtherRating		73.27267630002461	Placebo		
18	17.186171200009994	73.9261678000912	19	Left Face	44	ImageryRating		73.90694980008993	Placebo		
19	17.8463246000465	74.57322480005678	57	Left Face	44	PresentRating		74.55989183334168	Placebo		
