	onset	duration	value	bodySite	temperature	condition	keys	rt	phase	biopacCode	biopac_channel
0	0.00987950002308935	5.0096570666646585		Right Leg	46.5	Instructions			Control		198.0
1	5.032288999995217	1.0458582333521917		Right Leg	46.5	Pre-Jitter			Control		8.0
2	6.082738899975084	1.0288016331614926		Right Leg	46.5	Control Heat 			Control		22.0
3	7.114780599949881	1.0305144332814962		Right Leg	46.5	Post-Jitter			Control		9.0
4	8.181373999919742	171.21638690005057	-1	Right Leg	46.5	PainBinary		171.1984128333861	Control		
5	8.80891729996074	171.83658350002952	10	Right Leg	46.5	IntensityRating		171.82297130010556	Control		
6	9.440038100001402	172.48559160006698	-93	Right Leg	46.5	ComfortRating		172.48208470013924	Control		
7	10.080315799918026	173.13156800006982	34	Right Leg	46.5	ValenceRating		173.12048139993567	Control		
8	10.719288800028153	173.74458070006222	57	Right Leg	46.5	IntensityRating		173.72600350016728	Control		
9	11.350875400006771	174.37959050002974	-84	Right Leg	46.5	AvoidanceRating		174.36285383347422	Control		
10	11.977338699973188	175.0387218000833	-81	Right Leg	46.5	RelaxationRating		175.02970760012977	Control		
11	12.647140600020066	175.71318800002337	52	Right Leg	46.5	AttentionRating		175.70011583343148	Control		
12	13.302184599917382	176.32819810009096	54	Right Leg	46.5	BoredomRating		176.31048069999088	Control		
13	13.917248399928212	176.9713375000283	99	Right Leg	46.5	AlertnessRating		176.95437699987087	Control		
14	14.578940499923192	177.62703160010278	53	Right Leg	46.5	PosThxRating		177.61194303340744	Control		
15	15.225971999927424	178.29254480008967	-62	Right Leg	46.5	NegThxRating		178.2848326000385	Control		
16	15.884458999964409	178.93952760007232	-41	Right Leg	46.5	SelfRating		178.926024899818	Control		
17	16.537229800014757	179.58772940002382	33	Right Leg	46.5	OtherRating		179.57881489989813	Control		
18	17.20659469999373	180.25648660003208	-89	Right Leg	46.5	ImageryRating		180.2523588333279	Control		
19	17.843404999934137	180.87705260002986	16	Right Leg	46.5	PresentRating		180.8579171000747	Control		
