	onset	duration	intensity	bodySite	temperature	condition	pretrial-jitter
0	2.773430699991877	5.020079800000531		Right Face	49.0	Experience Instruction	
1	12.827888899992104	12.981223540002247		Right Face	49.0	Experience Phase	5.0
2	30.813335700004245	5.011315980009385	28.580246913580247	Right Face	49.0	Intensity Rating	5.0
3	40.871725699995295	12.944037639987073		Right Face	49.0	Experience Phase	5.0
4	60.829633000001195	5.0125811800098745	25.55555555555556	Right Face	49.0	Intensity Rating	7.0
5	68.87914839999576	12.963008639999316		Right Face	49.0	Experience Phase	3.0
6	86.84686720000172	5.011830279996502	35.49382716049383	Right Face	49.0	Intensity Rating	5.0
7	96.93277879999368	12.922771699988516		Right Face	49.0	Experience Phase	5.0
8	116.86314760000096	5.013165480006137	22.592592592592595	Right Face	49.0	Intensity Rating	7.0
9	124.92328239999188	12.942362839996349		Right Face	49.0	Experience Phase	3.0
10	144.88085869999486	5.0115819799975725	23.51851851851852	Right Face	49.0	Intensity Rating	7.0
11	152.94260249999934	12.937547540001106		Right Face	49.0	Experience Phase	3.0
12	172.89757649999228	5.0119572800031165	23.086419753086417	Right Face	49.0	Intensity Rating	7.0
13	180.959157099991	12.938259740010835		Right Face	49.0	Experience Phase	3.0
14	196.9144185000041	5.0120090800046455	24.567901234567902	Right Face	49.0	Intensity Rating	3.0
15	208.97156639999594	12.947260639994056		Right Face	49.0	Experience Phase	7.0
16	224.93185779999476	5.010980780003592	19.444444444444446	Right Face	49.0	Intensity Rating	3.0
17	237.0113921000011	12.918026719984482		Right Face	49.0	Experience Phase	7.0
18	252.94775739999022	5.012960380001459	21.85185185185185	Right Face	49.0	Intensity Rating	3.0
19	265.00316290000046	12.951676639990183		Right Face	49.0	Experience Phase	7.0
20	280.9647810000024	5.012774480012013	20.61728395061728	Right Face	49.0	Intensity Rating	3.0
21	293.0208489999932	12.950122140013264		Right Face	49.0	Experience Phase	7.0
22	308.98174799999106	5.012607280004886	22.40740740740741	Right Face	49.0	Intensity Rating	3.0
23	321.0188705000037	12.971288860004279		Right Face	49.0	Experience Phase	7.0
24	338.99929199999315	5.011371180022252	23.518518518518515	Right Face	49.0	Intensity Rating	5.0
25	349.0539706999989	12.968148740008473		Right Face	49.0	Experience Phase	5.0
26	367.0320505999989	5.013058780008578	23.45679012345679	Right Face	49.0	Intensity Rating	5.0
27	377.0894386	12.947742840013234		Right Face	49.0	Experience Phase	5.0
28	393.0496587999951	5.011678079987178	23.086419753086417	Right Face	49.0	Intensity Rating	3.0
29	405.10827319999225	12.943895839998731		Right Face	49.0	Experience Phase	7.0
30	421.06629010000324	5.012148680005339	23.51851851851852	Right Face	49.0	Intensity Rating	3.0
31	433.1079686000012	12.961631359998137		Right Face	49.0	Experience Phase	7.0
32	451.08287899999414	5.012811180014978	23.271604938271608	Right Face	49.0	Intensity Rating	5.0
33	Comfort Rating:	12.222222222222229					
34	Valence Rating:	20.98765432098766					
35	Intensity Rating:	56.604938271604944					
36	Pain Avoidance Rating:	21.358024691358025					
37	Body Relaxation Rating:	70.74074074074073					
38	TaskAttention Rating:	100.0					
39	Boredom Rating:	0.0					
40	Pain Alertnessance Rating:	38.765432098765444					
41	Positive Thoughts Rating:	74.93827160493828					
42	Negative Thoughts Rating:	33.827160493827165					
43	Self-Thoughts Rating:	-51.358024691358025					
44	Other People Thoughts Rating:	81.60493827160494					
45	Clear and Vivid Imagery Rating:	55.06172839506175					
46	Presentness Thoughts Rating:	-37.1604938271605					
