	onset	duration	rt	response	correct	bodySite	temperature	condition	pretrial-jitter	posttrial-jitter
0	40.81160539994016	2.0041544099804014	[0.8630534000694752, 0.0, 0.6492642000084743]	2	0	Left Leg	49.0	1back	10.0	7.5
1	80.86190449993592	2.0041755099082366	[0.0, 0.0, 0.49655579996760935]	2	1	Left Leg	49.0	1back	7.5	5.0
2	120.91274699999485	2.0031549100531265	[0.8632756000151858, 0.0, 0.0]	0	1	Left Leg	49.0	1back	10.0	7.5
3	160.96281449997332	2.0036399100208655	[0.7798486000392586, 0.0, 0.0]	0	1	Left Leg	49.0	1back	7.5	10.0
4	216.14469169999938	2.0074603100074455	[0.8336976000573486, 0.0, 0.0]	0	1	Left Leg	49.0	2back	10.0	7.5
5	256.3287572999252	2.006614510086365	[0.0, 0.0, 0.4336388000519946]	2	1	Left Leg	49.0	2back	7.5	5.0
6	296.51220110000577	2.0070392100606114	[0.0, 0.0, 0.6671204000012949]	2	0	Left Leg	49.0	2back	10.0	7.5
7	336.6957810999593	2.007221610052511	[0.7170329000800848, 0.0, 0.0]	0	1	Left Leg	49.0	2back	7.5	7.5
8	376.8792351000011	2.0075826100073755	[0.6004801000235602, 0.0, 0.0]	0	0	Left Leg	49.0	2back	7.5	10.0
9	417.0629597000079	2.007404310046695	[0.8670132000697777, 0.0, 0.0]	0	0	Left Leg	49.0	2back	5.0	10.0
10	457.246967199957	2.0067707099951804	[0.7003428998868912, 0.0, 0.0]	0	1	Left Leg	49.0	2back	5.0	10.0
11	497.43030879995786	2.0073752099415287	[0.5169800999574363, 0.0, 0.0]	0	1	Left Leg	49.0	2back	5.0	10.0
12	552.5162289999425	2.0030988099751994	[0.94636519998312, 0.0, 0.0]	0	1	Left Leg	49.0	1back	10.0	5.0
13	592.5661511999788	2.0038975100032985	[0.0, 0.0, 0.6798416000092402]	2	1	Left Leg	49.0	1back	10.0	5.0
14	632.6172325999942	2.002397909993306	[0.46644450002349913, 0.0, 0.0]	0	1	Left Leg	49.0	1back	10.0	5.0
15	672.6672734000022	2.002955909934826	[0.0, 0.0, 0.5965746999718249]	2	1	Left Leg	49.0	1back	10.0	10.0
