	onset	duration	bodySite	intensity	temperature	condition	posttrial-jitter
0	45.33091580006294	5.012643810128793	Abdomen	22.77777777777778	46.5	1back	5.0
1	85.38172379997559	5.011768709868193	Abdomen	14.444444444444446	46.5	1back	5.0
2	130.43177110003307	5.012109410017729	Abdomen	17.77777777777778	46.5	1back	10.0
3	165.48180090007372	5.012777810101397	Abdomen	14.814814814814813	46.5	1back	5.0
4	213.19885020004585	5.012522510020062	Abdomen	14.629629629629628	46.5	2back	7.5
5	255.88289909996092	5.011847810004838	Abdomen	14.691358024691356	46.5	2back	10.0
6	293.56692819995806	5.011158410110511	Abdomen	13.82716049382716	46.5	2back	7.5
7	336.2499813999748	5.012363509973511	Abdomen	12.839506172839501	46.5	2back	10.0
8	376.4339876000304	5.011645710095763	Abdomen	12.592592592592592	46.5	2back	10.0
9	414.11703159997705	5.012589909951203	Abdomen	15.185185185185182	46.5	2back	7.5
10	456.80110140005127	5.012004109914415	Abdomen	12.407407407407407	46.5	2back	10.0
11	494.4850903999759	5.011254910030402	Abdomen	15.370370370370367	46.5	2back	7.5
12	542.0681581000099	5.012540810042992	Abdomen	15.432098765432102	46.5	2back	5.0
13	582.1192078000167	5.011053309892304	Abdomen	16.358024691358022	46.5	2back	5.0
14	622.1692167000147	5.011690209968947	Abdomen	17.530864197530864	46.5	2back	5.0
15	667.2192758000456	5.0120391100645065	Abdomen	16.04938271604938	46.5	2back	10.0
