	onset	duration	trial_type	body_site	temp
0	2.784146999940276	1.9831946000922471	3-cue	Right Leg	
1	4.767341600032523	11.00227737124078	3-trial	Right Leg	
2	15.769705999875441	13.007205920061097	2	Right Leg	37.0
3	28.768149700015783	13.010515719885007	4		
4	41.768713400000706	13.009582119993865	4		
5	54.768167099915445	13.010881019989029	2	Right Leg	37.0
6	67.7689381998498	1.9829442999325693	3-cue	Right Leg	
7	69.75188249978237	11.009940420044586	3-trial	Right Leg	
8	80.75226659979671	13.009765719762072	1	Right Leg	46.0
9	93.75115739996545	13.012179319979623	4		
10	106.75305249984376	1.982971000019461	3-cue	Right Leg	
11	108.73602349986322	11.008972120005637	3-trial	Right Leg	
12	119.73628759989515	13.009033320005983	1	Right Leg	46.0
13	132.73599959979765	1.9829997001215816	3-cue	Right Leg	
14	134.71899929991923	11.010151719907299	3-trial	Right Leg	
15	145.72029259987175	13.008093919837847	2	Right Leg	37.0
16	158.71999359992333	1.983162400079891	3-cue	Right Leg	
17	160.70315600000322	11.009069120045751	3-trial	Right Leg	
18	171.70334389992058	13.009090919978917	1	Right Leg	46.0
19	184.7026286998298	1.9829964998643845	3-cue	Right Leg	
20	186.6856251996942	11.011077019851655	3-trial	Right Leg	
21	197.68777149985544	13.007249920163304	4		
22	210.68627319997177	13.010418420191854	1	Right Leg	46.0
23	223.68626109999605	13.010723120067269	4		
24	236.6868131000083	13.009803019696847	4		
25	249.68626689980738	13.011092419968918	1	Right Leg	46.0
26	262.687049199827	1.9832304001320153	3-cue	Right Leg	
27	264.67027959995903	11.009865019936115	3-trial	Right Leg	
28	275.67141169984825	13.007909020176157	1	Right Leg	46.0
29	288.67081219982356	13.00931912008673	4		
30	301.67028889991343	13.010552820051089	1	Right Leg	46.0
31	314.6708294998389	13.009687520097941	4		
32	327.6703880999703	13.010777819901705	2	Right Leg	37.0
33	340.6710677999072	1.9830080000683665	3-cue	Right Leg	
34	342.65407579997554	11.009966119891033	3-trial	Right Leg	
35	353.65552129992284	13.007620620075613	2	Right Leg	37.0
36	366.65478829992935	1.982984900008887	3-cue	Right Leg	
37	368.63777319993824	11.00966301979497	3-trial	Right Leg	
38	379.6390329999849	1.9831871001515538	3-cue	Right Leg	
39	381.6222201001365	11.007829319918528	3-trial	Right Leg	
40	392.6214768998325	13.009660120122135	2	Right Leg	37.0
41	405.6218988997862	13.009038619697094	4		
42	418.6214326999616	13.01014181994833	2	Right Leg	37.0
43	431.62141329981387	13.010390320094302	4		
44	444.62193549983203	13.009594319853932	4		
45	457.6214401999023	13.0107740201056	2	Right Leg	37.0
46	470.62183199985884	1.9831333998590708	3-cue	Right Leg	
47	472.6049653997179	11.010382620152086	3-trial	Right Leg	
48	483.6069055998232	13.00692292000167	4		
49	496.60542609984986	13.010071319993585	1	Right Leg	46.0
50	509.60583799984306	1.9829781998414546	3-cue	Right Leg	
51	511.5888161996845	11.009807120077312	3-trial	Right Leg	
52	Valence Rating:	16.172839506172835			
53	Intensity Rating:	16.17283950617284			
54	Comfort Rating:	63.0246913580247			
