	SID	day	sex	session	handedness	scanner	onset	duration	value	body_site	skin_site	temperature	condition	keys	rt	phase	biopac_channel
0	1248	2	M	02	R	MH	2.7741348000708967	4.996031056740321		Chest	1	46.5	Instructions			Control	19
1	1248	2	M	02	R	MH	8.067194000002928	5.01117375981994	32.71604938271605	Chest	1	46.5	Expectancy		2.2337387999286875	Control	51
2	1248	2	M	02	R	MH	13.471561199985445	2.002512599923648		Chest	1	46.5	Cue			Control	6
3	1248	2	M	02	R	MH	15.476880399975926	4.008608640055172		Chest	1	46.5	Pre-Jitter			Control	7
4	1248	2	M	02	R	MH	19.54518040001858	15.005530560039915		Chest	1	46.5	Control Heat 			Control	17
5	1248	2	M	02	R	MH	34.55781789997127	6.997154440032318		Chest	1	46.5	Mid-Jitter			Control	8
6	1248	2	M	02	R	MH	41.576179899973795	5.0105483799707144	1.0	Chest	1	46.5	PainBinary		0.9999955999664962	Control	20
7	1248	2	M	02	R	MH	46.60809810005594	4.996838380000554	47.77777777777778	Chest	1	46.5	IntensityRating		3.284187800018117	Control	21
8	1248	2	M	02	R	MH	51.60991380002815	7.009986539953388		Chest	1	46.5	Post-Q-Jitter			Control	9
9	1248	2	M	02	R	MH	58.93306020007003	5.013814099947922	35.80246913580247	Chest	1	46.5	Expectancy		2.4503077000845224	Control	51
10	1248	2	M	02	R	MH	64.30298849998508	2.0074148200219497		Chest	1	46.5	Cue			Control	6
11	1248	2	M	02	R	MH	66.3099518000381	4.010225940030068		Chest	1	46.5	Pre-Jitter			Control	7
12	1248	2	M	02	R	MH	70.35708690003958	14.999434920027852		Chest	1	46.5	Control Heat 			Control	17
13	1248	2	M	02	R	MH	85.35762670007534	6.998561139917001		Chest	1	46.5	Mid-Jitter			Control	8
14	1248	2	M	02	R	MH	92.37587069999427	4.995539780007675	1.0	Chest	1	46.5	PainBinary		1.650092399911955	Control	20
15	1248	2	M	02	R	MH	97.39177540002856	5.013739480054937	36.91358024691358	Chest	1	46.5	IntensityRating		2.9666590999113396	Control	21
16	1248	2	M	02	R	MH	102.41036029998213	6.993309439858422		Chest	1	46.5	Post-Q-Jitter			Control	9
17	1248	2	M	02	R	MH	109.73590730002616	5.009146940079518	32.03703703703704	Chest	1	46.5	Expectancy		2.266961400047876	Control	51
18	1248	2	M	02	R	MH	115.12318200001027	2.001349759986624		Chest	1	46.5	Cue			Control	6
19	1248	2	M	02	R	MH	117.12733749998733	7.993121939827688		Chest	1	46.5	Pre-Jitter			Control	7
20	1248	2	M	02	R	MH	125.18837210000493	15.004632100113668		Chest	1	46.5	Control Heat 			Control	17
21	1248	2	M	02	R	MH	140.19202600000426	4.997512439964339		Chest	1	46.5	Mid-Jitter			Control	8
22	1248	2	M	02	R	MH	145.21095920004882	5.009790180018172	1.0	Chest	1	46.5	PainBinary		1.3521989000728354	Control	20
23	1248	2	M	02	R	MH	150.24223570001777	5.014044679934159	37.53086419753087	Chest	1	46.5	IntensityRating		2.566681999946013	Control	21
24	1248	2	M	02	R	MH	155.26180790003855	5.008258439949714		Chest	1	46.5	Post-Q-Jitter			Control	9
25	1248	2	M	02	R	MH	160.5720711000031	5.004540659836493	37.901234567901234	Chest	1	46.5	Expectancy		4.735585700022057	Control	51
26	1248	2	M	02	R	MH	165.94616430008318	2.006421319907531		Chest	1	46.5	Cue			Control	6
27	1248	2	M	02	R	MH	167.96228880004492	4.0075967400334775		Chest	1	46.5	Pre-Jitter			Control	7
28	1248	2	M	02	R	MH	172.02223890007008	15.004548460012302		Chest	1	46.5	Control Heat 			Control	17
29	1248	2	M	02	R	MH	187.02540380007122	4.998388240113854		Chest	1	46.5	Mid-Jitter			Control	8
30	1248	2	M	02	R	MH	192.04438520001713	5.010545079945587	1.0	Chest	1	46.5	PainBinary		1.666648400016129	Control	20
31	1248	2	M	02	R	MH	197.0764901000075	5.013114580069669	35.98765432098765	Chest	1	46.5	IntensityRating		2.3166348999366164	Control	21
32	1248	2	M	02	R	MH	202.09529860003386	5.008904940099455		Chest	1	46.5	Post-Q-Jitter			Control	9
33	1248	2	M	02	R	MH	207.40561989997514	5.005030559841543	38.2716049382716	Chest	1	46.5	Expectancy		1.8169853000435978	Control	51
34	1248	2	M	02	R	MH	212.7809597000014	2.0043978199828416		Chest	1	46.5	Cue			Control	6
35	1248	2	M	02	R	MH	214.7952282000333	8.009324240032583		Chest	1	46.5	Pre-Jitter			Control	7
36	1248	2	M	02	R	MH	222.8781152999727	14.993763799895532		Chest	1	46.5	Control Heat 			Control	17
