	onset	duration	rt	response	correct	bodySite	temperature	condition
0	537.3030823000008	1.9708846999856178			1.0	Abdomen	46.0	1back
1	539.293460099987	2.0055682999955025			0.0	Abdomen	46.0	1back
2	541.2950529999798	2.004746799968416			0.0	Abdomen	46.0	1back
3	543.2969770999916	2.004039899969939			0.0	Abdomen	46.0	1back
4	545.2986123999872	2.005479599989485			0.0	Abdomen	46.0	1back
5	547.3006466999941	2.003169700008584			0.0	Abdomen	46.0	1back
6	549.302496999997	2.005644700024277			0.0	Abdomen	46.0	1back
7	intensity: 	50.0						
8	592.3922529999982	1.9193285999936052			1.0	Abdomen	46.0	1back
9	594.3412264999934	2.0112316999875475			0.0	Abdomen	46.0	1back
10	596.3425513999828	2.003660599992145			0.0	Abdomen	46.0	1back
11	598.3442662000016	2.0067856999812648			0.0	Abdomen	46.0	1back
12	600.3460040999926	2.0080756999959704			0.0	Abdomen	46.0	1back
13	602.3478999999934	2.004281200002879			0.0	Abdomen	46.0	1back
14	604.3499848000065	2.005233500007307			0.0	Abdomen	46.0	1back
15	intensity: 	50.0						
16	636.4182626999973	1.9448017999820877			1.0	Abdomen	46.0	1back
17	638.3785846999963	2.0068869999959134			0.0	Abdomen	46.0	1back
18	640.3807845999836	2.0030482999864034			0.0	Abdomen	46.0	1back
19	642.3826989000081	2.0040688999870326			0.0	Abdomen	46.0	1back
20	644.3846078999923	2.0110608999966644			0.0	Abdomen	46.0	1back
21	646.385548899998	2.007805000030203			0.0	Abdomen	46.0	1back
22	648.387327000004	2.0086752000206616			0.0	Abdomen	46.0	1back
23	intensity: 	50.0						
24	669.4901963000011	1.9278282999584917			1.0	Abdomen	46.0	1back
25	671.4467985999945	2.0034563000081107			0.0	Abdomen	46.0	1back
26	673.4849251999985	1.8832447000022512			0.0	Abdomen	46.0	1back
27	675.4966084999905	1.9992891000001691			0.0	Abdomen	46.0	1back
28	677.495720499981	2.0085607999935746			0.0	Abdomen	46.0	1back
29	679.4971894999908	2.0081425000098534			0.0	Abdomen	46.0	1back
30	681.5150025000039	1.9981980999873485			0.0	Abdomen	46.0	1back
31	intensity: 	50.0						
32	707.6691179999907	1.9479209999844898			1.0	Abdomen	46.0	2back
