	onset	duration	bodySite	intensity	temperature	condition	pretrial-jitter	posttrial-jitter
0	52.813080699997954	5.0165156699949875	Abdomen	27.870370370370374	46	1back	10.0	10.0
1	92.84980449994328	5.01660047005862	Abdomen	20.0	46	1back	5.0	10.0
2	132.87045529996976	5.016237769974396	Abdomen	24.166666666666668	46	1back	5.0	10.0
3	172.89115529996343	5.014640570036136	Abdomen	14.722222222222223	46	1back	5.0	10.0
4	223.09846609999659	5.016697069979273	Abdomen	21.296296296296294	46	2back	5.0	10.0
5	263.2848888999433	5.018263469974045	Abdomen	23.055555555555554	46	2back	5.0	10.0
6	298.45451709994813	5.013624869985506	Abdomen	23.055555555555554	46	2back	5.0	5.0
7	338.62419909995515	5.014139770006295	Abdomen	25.833333333333336	46	2back	10.0	5.0
8	381.2951305999886	5.018205369997304	Abdomen	50.0	46	2back	10.0	7.5
9	421.4807224999531	5.017920270038303	Abdomen	22.314814814814813	46	2back	7.5	7.5
10	459.1339480999741	5.016684570000507	Abdomen	37.407407407407405	46	2back	7.5	5.0
11	504.30612199997995	5.018222670012619	Abdomen	22.962962962962962	46	2back	10.0	10.0
12	554.3659975999617	5.01535016996786	Abdomen	23.333333333333332	46	1back	7.5	7.5
13	596.903294699965	5.0166979700443335	Abdomen	25.46296296296296	46	1back	7.5	10.0
14	636.9242487999727	5.015340770012699	Abdomen	23.88888888888889	46	1back	5.0	10.0
15	674.4605906999786	5.014999969978817	Abdomen	26.203703703703702	46	1back	5.0	7.5
