	onset	duration	rt	response	correct	bodySite	temperature	condition	pretrial-jitter	posttrial-jitter
0	38.323205199907534	2.003167809918523	[0.679715899983421, 0.0, 0.0]	0	1	Right Arm	47.5	1back	7.5	5.0
1	78.37322449998464	2.0037000100128353	[0.0, 0.0, 0.8965585000114515]	2	1	Right Arm	47.5	1back	10.0	10.0
2	118.42318679997697	2.004397609969601	[0.7131423000246286, 0.0, 0.0]	0	1	Right Arm	47.5	1back	5.0	7.5
3	158.47418989997823	2.00305841001682	[0.5799495000392199, 0.0, 0.0]	0	1	Right Arm	47.5	1back	7.5	7.5
4	206.18903619993944	2.0074672100599855	[0.0, 0.0, 0.6336440000450239]	2	0	Right Arm	47.5	2back	5.0	10.0
5	246.37269420002121	2.007439909968525	[0.0, 0.0, 0.7170105000259355]	2	1	Right Arm	47.5	2back	5.0	7.5
6	286.55633779999334	2.0074410100933164	[0.6669277000473812, 0.0, 0.0]	0	1	Right Arm	47.5	2back	7.5	5.0
7	326.7401178999571	2.0071858098963276	[0.0, 0.0, 1.0004039999330416]	2	0	Right Arm	47.5	2back	10.0	7.5
8	366.9236151999794	2.007517909980379	[0.6336970999836922, 0.0, 0.0]	0	0	Right Arm	47.5	2back	7.5	7.5
9	407.1074256999418	2.00720910995733	[0.0, 0.0, 0.4367215000092983]	2	1	Right Arm	47.5	2back	7.5	5.0
10	447.2909774999134	2.0074582101078704	[0.6170087000355124, 0.0, 0.0]	0	1	Right Arm	47.5	2back	10.0	5.0
11	487.54137240001	2.0072571099735796	[0.6170330999884754, 0.0, 0.0]	0	1	Right Arm	47.5	2back	10.0	7.5
12	535.143781999941	2.0032294100383297	[0.4967064999509603, 0.0, 0.0]	0	1	Right Arm	47.5	1back	5.0	10.0
13	575.19455070002	2.002341009909287	[0.0, 0.0, 0.6799188000150025]	2	1	Right Arm	47.5	1back	5.0	7.5
14	615.2447556999978	2.002563409972936	[0.0, 0.0, 0.6464651999995112]	2	0	Right Arm	47.5	1back	7.5	5.0
15	655.2947494999971	2.003237309982069	[0.0, 0.0, 0.5998680999036878]	2	1	Right Arm	47.5	1back	10.0	5.0
