	onset	duration	bodySite	intensity	temperature	condition	posttrial-jitter
0	45.31485100009013	5.013052610098384	Right Face	24.320987654320987	48.0	1back	5.0
1	87.86592030001339	5.011802309891209	Right Face	17.469135802469136	48.0	1back	7.5
2	127.91596950008534	5.0121416101465	Right Face	17.28395061728395	48.0	1back	7.5
3	170.4659695000155	5.01280701009091	Right Face	14.629629629629628	48.0	1back	10.0
4	225.66704800003208	5.011571809998713	Right Face	15.864197530864196	48.0	2back	10.0
5	263.35008010000456	5.0127998100360855	Right Face	21.296296296296294	48.0	2back	7.5
6	306.03413980000187	5.012001210008748	Right Face	14.629629629629628	48.0	2back	10.0
7	343.7181215999881	5.011275709955953	Right Face	14.691358024691356	48.0	2back	7.5
8	381.40118869999424	5.012470710091293	Right Face	22.962962962962962	48.0	2back	5.0
9	421.58525640005246	5.011642910074443	Right Face	18.88888888888889	48.0	2back	5.0
10	461.76921320008114	5.011261610081419	Right Face	16.54320987654321	48.0	2back	5.0
11	504.45224760007113	5.01226911006961	Right Face	16.04938271604938	48.0	2back	7.5
12	557.0203577000648	5.010171110043302	Right Face	21.358024691358025	48.0	2back	7.5
13	599.5704424000578	5.010784810059704	Right Face	21.790123456790123	48.0	2back	10.0
14	634.6203542000148	5.011469409917481	Right Face	23.39506172839506	48.0	2back	5.0
15	674.6704342000885	5.0119834101060405	Right Face	20.308641975308642	48.0	2back	5.0
