	onset	duration	rt	response	correct	bodySite	temperature	condition	pretrial-jitter	posttrial-jitter
0	38.31064449995756	2.004924610024318	[0.0, 0.0, 0.3963837999617681]	2	0	Left Face	48.0	1back	7.5	10.0
1	78.34468209999613	2.0041515099583194	[0.0, 0.0, 0.429711899952963]	2	1	Left Face	48.0	1back	5.0	5.0
2	118.39472039998509	2.0047318099532276	[0.5961947999894619, 0.0, 0.0]	0	1	Left Face	48.0	1back	10.0	7.5
3	158.4459121999098	2.0030201099580154	[0.4298498999560252, 0.0, 0.0]	0	1	Left Face	48.0	1back	7.5	7.5
4	206.12753969989717	2.007131510064937	[0.7503372000064701, 0.0, 0.0]	0	1	Left Face	48.0	2back	5.0	10.0
5	246.31095889990684	2.007493510027416	[0.0, 0.0, 0.6504065999761224]	2	1	Left Face	48.0	2back	5.0	10.0
6	286.4948227999266	2.007211109972559	[0.6170018000993878, 0.0, 0.0]	0	1	Left Face	48.0	2back	5.0	7.5
7	326.67830809997395	2.0075216100085527	[0.6361022000201046, 0.0, 0.0]	0	1	Left Face	48.0	2back	7.5	7.5
8	366.862003599992	2.0074652100447565	[0.0, 0.0, 0.7534637999488041]	2	1	Left Face	48.0	2back	7.5	10.0
9	407.04564509994816	2.0074715099763125	[0.0, 0.0, 0.7336551999906078]	2	1	Left Face	48.0	2back	5.0	5.0
10	447.2294122999301	2.0072629099013284	[0.267043299973011, 0.0, 0.0]	0	1	Left Face	48.0	2back	10.0	7.5
11	487.41298759996425	2.0073529101209715	[0.0, 0.0, 0.9003234000410885]	2	0	Left Face	48.0	2back	7.5	7.5
12	535.0151749999495	2.003818209981546	[0.4298659999622032, 0.0, 0.0]	0	1	Left Face	48.0	1back	5.0	10.0
13	575.0660991999321	2.002631810028106	[0.0, 0.0, 0.5297892999369651]	2	1	Left Face	48.0	1back	5.0	7.5
14	615.1161534999264	2.0031601099763066	[0.7632077999878675, 0.0, 0.0]	0	1	Left Face	48.0	1back	7.5	7.5
15	655.1662496998906	2.0036032099742442	[0.0, 0.0, 0.42980000004172325]	2	1	Left Face	48.0	1back	7.5	10.0
