	onset	duration	rt	response	correct	bodySite	temperature	condition	pretrial-jitter	posttrial-jitter
0	40.81750489992555	2.0033365100389346	[0.6465649999445304, 0.0, 0.0]	0	1	Chest	49.0	1back	10.0	5.0
1	80.8675747999223	2.0038311099633574	[0.0, 0.0, 0.5798971999902278]	2	1	Chest	49.0	1back	10.0	10.0
2	120.91752060002182	2.004582909983583	[0.6133739999495447, 0.0, 0.0]	0	1	Chest	49.0	1back	5.0	10.0
3	160.96856259997003	2.0031440099701285	[0.5967933000065386, 0.0, 0.0]	0	1	Chest	49.0	1back	5.0	5.0
4	208.65015190001577	2.00738080998417	[0.8361851000227034, 0.0, 0.0]	0	1	Chest	49.0	2back	7.5	7.5
5	248.83369929995388	2.0075870100408792	[0.0, 0.0, 0.6170039999997243]	2	1	Chest	49.0	2back	7.5	7.5
6	289.0174893999938	2.0073341100942343	[0.9337087000021711, 0.0, 0.0]	0	1	Chest	49.0	2back	7.5	10.0
7	329.20103130000643	2.007531910086982	[0.4836805999511853, 0.0, 0.0]	0	1	Chest	49.0	2back	5.0	5.0
8	369.38476569997147	2.0073845100123435	[0.6502209999598563, 0.0, 0.0]	0	0	Chest	49.0	2back	10.0	7.5
9	409.56851469993126	2.0070707100676373	[0.0, 0.0, 0.6836035999003798]	2	1	Chest	49.0	2back	7.5	7.5
10	449.75198529998306	2.0075280100572854	[0.7170197999803349, 0.0, 0.0]	0	1	Chest	49.0	2back	7.5	5.0
11	489.9360185000114	2.0068052099086344	[0.0, 0.0, 0.8170123000163585]	2	0	Chest	49.0	2back	10.0	7.5
12	537.5378834999865	2.0038415101589635	[0.49657260009553283, 0.0, 0.0]	0	1	Chest	49.0	1back	5.0	10.0
13	577.5889971000142	2.002320310100913	[0.0, 0.0, 0.6632209999952465]	2	1	Chest	49.0	1back	5.0	7.5
14	617.639067000011	2.0027520100120455	[0.7329601000528783, 0.0, 0.0]	0	1	Chest	49.0	1back	7.5	5.0
15	657.689212199999	2.003093809937127	[0.0, 0.0, 0.4464331000344828]	2	1	Chest	49.0	1back	10.0	5.0
