	onset	duration	rt	response	correct	bodySite	temperature	condition	pretrial-jitter	posttrial-jitter
0	38.31112000008579	2.0039593098917976	[0.0, 0.0, 0.6496207000454888]	2	0	Right Arm	47.5	1back	7.5	10.0
1	78.34518400009256	2.003171009942889	[0.0, 0.0, 0.6988525000633672]	2	1	Right Arm	47.5	1back	5.0	10.0
2	118.39522960002068	2.003723509958945	[0.49965539993718266, 0.0, 0.0]	0	1	Right Arm	47.5	1back	5.0	5.0
3	158.4451759000076	2.004444809979759	[0.682360399980098, 0.0, 0.0]	0	1	Right Arm	47.5	1back	10.0	5.0
4	206.1440534000285	2.0075184099841863	[0.0, 0.0, 0.5836783000268042]	2	0	Right Arm	47.5	2back	7.5	5.0
5	246.32793620007578	2.0070021100109443	[0.0, 0.0, 0.767004800029099]	2	1	Right Arm	47.5	2back	10.0	5.0
6	286.5116205000086	2.006984809995629	[0.5003595999442041, 0.0, 0.0]	0	1	Right Arm	47.5	2back	10.0	10.0
7	326.6950748000527	2.007357110036537	[0.7003652000566944, 0.0, 0.0]	0	1	Right Arm	47.5	2back	5.0	10.0
8	366.8787958000321	2.007210909971036	[0.0, 0.0, 0.9669946000212803]	2	1	Right Arm	47.5	2back	5.0	7.5
9	407.06234619999304	2.007385910139419	[0.0, 0.0, 0.8866776999784634]	2	1	Right Arm	47.5	2back	7.5	5.0
10	447.2462496000808	2.006936109974049	[0.4336722999578342, 0.0, 0.0]	0	1	Right Arm	47.5	2back	10.0	10.0
11	487.42977120005526	2.007206410053186	[0.5336651999969035, 0.0, 0.0]	0	1	Right Arm	47.5	2back	5.0	7.5
12	535.0326963000698	2.002122709993273	[0.5464963000267744, 0.0, 0.0]	0	1	Right Arm	47.5	1back	5.0	7.5
13	575.0655862999847	2.0036301099462435	[0.0, 0.0, 0.5632996000349522]	2	1	Right Arm	47.5	1back	7.5	5.0
14	615.1167195000453	2.0020048099104315	[0.47995219996664673, 0.0, 0.0]	0	1	Right Arm	47.5	1back	10.0	7.5
15	655.1669227000093	2.002243610098958	[0.0, 0.0, 0.5464596999809146]	2	1	Right Arm	47.5	1back	7.5	5.0
