	onset	duration	bodySite	intensity	temperature	condition	posttrial-jitter
0	50.30693199997768	5.013231510063633	Left Face	23.271604938271608	48.0	1back	10.0
1	85.34096599998884	5.01236791012343	Left Face	23.39506172839506	48.0	1back	5.0
2	127.8910396998981	5.012929509975947	Left Face	16.234567901234563	48.0	1back	7.5
3	167.94204419991001	5.011548610054888	Left Face	16.728395061728396	48.0	1back	7.5
4	218.14212209999096	5.01224180997815	Left Face	14.814814814814813	48.0	2back	10.0
5	258.32613399997354	5.011469209915958	Left Face	14.444444444444446	48.0	2back	10.0
6	296.00917509989813	5.012641609995626	Left Face	12.65432098765432	48.0	2back	7.5
7	336.1932663999032	5.011913110036403	Left Face	14.50617283950617	48.0	2back	7.5
8	378.87723829993047	5.011160409892909	Left Face	14.444444444444446	48.0	2back	10.0
9	414.0602536998922	5.01238551014103	Left Face	14.567901234567904	48.0	2back	5.0
10	456.7442927999655	5.011662409990095	Left Face	14.50617283950617	48.0	2back	7.5
11	496.9283674999606	5.0108324099564925	Left Face	14.691358024691356	48.0	2back	7.5
12	547.0113974999404	5.0122200100449845	Left Face	19.19753086419753	48.0	2back	10.0
13	584.5624416999053	5.0107400100678205	Left Face	21.17283950617284	48.0	2back	7.5
14	624.6124841999263	5.0112994101364166	Left Face	16.60493827160494	48.0	2back	7.5
15	667.1624827999622	5.011999809998088	Left Face	14.691358024691356	48.0	2back	10.0
