	onset	duration	rt	response	correct	bodySite	temperature	condition	pretrial-jitter	posttrial-jitter
0	38.322524999966845	2.00329680996947	[0.6466720000607893, 0.0, 0.0]	0	1	Right Leg	47.0	1back	7.5	10.0
1	78.37233409995679	2.004286509938538	[0.0, 0.0, 0.5298157000215724]	2	1	Right Leg	47.0	1back	5.0	10.0
2	118.42340099997818	2.002809709869325	[0.6160071999765933, 0.0, 0.0]	0	1	Right Leg	47.0	1back	5.0	5.0
3	158.47330579999834	2.003614910063334	[0.37992610002402216, 0.0, 0.0]	0	1	Right Leg	47.0	1back	10.0	7.5
4	208.65526130003855	2.007200909894891	[0.8170057999668643, 0.0, 0.0]	0	1	Right Leg	47.0	2back	7.5	7.5
5	248.8387774999719	2.0074673099443316	[0.0, 0.0, 0.5502826999872923]	2	1	Right Leg	47.0	2back	7.5	7.5
6	289.02251779998187	2.0072995100636035	[0.9503650000551715, 0.0, 0.0]	0	1	Right Leg	47.0	2back	7.5	5.0
7	329.20609859994147	2.0073689100099728	[0.0, 0.0, 0.7503410000354052]	2	0	Right Leg	47.0	2back	10.0	10.0
8	369.3898384999484	2.007240810082294	[0.7336783999344334, 0.0, 0.0]	0	0	Right Leg	47.0	2back	5.0	7.5
9	409.5734109999612	2.007435610052198	[0.0, 0.0, 0.48371000005863607]	2	1	Right Leg	47.0	2back	7.5	5.0
10	449.75704699999187	2.0074616101337597	[0.5839190999977291, 0.0, 0.0]	0	1	Right Leg	47.0	2back	10.0	7.5
11	489.94071019999683	2.007447110139765	[0.9336954000173137, 0.0, 0.0]	0	1	Right Leg	47.0	2back	7.5	5.0
12	535.0436915999744	2.0022465100046247	[0.6965119999367744, 0.0, 0.0]	0	1	Right Leg	47.0	1back	5.0	5.0
13	575.0936172000365	2.0030244099907577	[0.0, 0.0, 0.46603170002344996]	2	1	Right Leg	47.0	1back	10.0	10.0
14	615.1437735999934	2.0033603101037443	[0.0, 0.0, 0.7464859000174329]	2	0	Right Leg	47.0	1back	5.0	10.0
15	655.1947316000005	2.0020856100600213	[0.0, 0.0, 0.46633680001832545]	2	1	Right Leg	47.0	1back	5.0	10.0
