	onset	duration	rt	response	correct	bodySite	temperature	condition	pretrial-jitter	posttrial-jitter
0	45.733898999984376	2.003906120080501			0	Left Face	46	1back	10.0	5.0
1	85.76778750005178	2.0033695200691			0	Left Face	46	1back	10.0	7.5
2	123.30104759999085	2.003965020063333			0	Left Face	46	1back	5.0	7.5
3	163.33508820005227	2.0032618200639263			0	Left Face	46	1back	7.5	10.0
4	203.51618739997502	2.007873220019974			0	Left Face	46	2back	5.0	7.5
5	243.68325470003765	2.0076878200052306			0	Left Face	46	2back	7.5	5.0
6	283.8501144000329	2.0078314201673493			0	Left Face	46	2back	10.0	7.5
7	326.5170808000257	2.0080664199776947			0	Left Face	46	2back	10.0	7.5
8	369.1842065000674	2.007775520090945			0	Left Face	46	2back	10.0	10.0
9	414.35112000000663	2.0079031200148165			0	Left Face	46	2back	10.0	10.0
10	459.5181902999757	2.0077797200065106			0	Left Face	46	2back	10.0	10.0
11	504.68521510006394	2.0076674200827256			0	Left Face	46	2back	10.0	5.0
12	544.7713468000293	2.0033293201122433			0	Left Face	46	1back	10.0	7.5
13	587.3053568999749	2.002775020082481			0	Left Face	46	1back	10.0	7.5
14	627.3396090000169	2.0015216200845316			0	Left Face	46	1back	7.5	5.0
15	662.3726757999975	2.002605720073916			0	Left Face	46	1back	5.0	10.0
